contract_id,charge_id,income_type,amount,due_date,description,is_voided
1100695823,11006958232100,1,  191.00,20141005,TUITION,0
1100696124,11006961241000,1, 2390.00,20131119,TUITION,0
1100696924,11006969241000,1, 1910.00,20131119,TUITION,0
1100697021,11006970211000,1, 1580.00,20130122,TUITION,0
1100697722,11006977221000,1, 3564.00,20130111,TUITION,0
1100698723,11006987231000,1,  239.00,20121220,TUITION,0
1100698723,11006987231100,1,  239.00,20130120,TUITION,0
1100698723,11006987231200,1,  239.00,20130220,TUITION,0
1100698723,11006987231300,1,  239.00,20130320,TUITION,0
1100698723,11006987231400,1,  239.00,20130420,TUITION,0
1100698723,11006987231500,1,  239.00,20130520,TUITION,0
1100698723,11006987231600,1,  239.00,20130620,TUITION,0
1100698723,11006987231700,1,  239.00,20130720,TUITION,0
1100698723,11006987231800,1,  239.00,20130820,TUITION,0
1100698723,11006987231900,1,  239.00,20130920,TUITION,0
1100698723,11006987232000,1,  239.00,20131020,TUITION,0
1100698723,11006987232100,1,  239.00,20131120,TUITION,0
1100700423,11007004231000,1, 2390.00,20140127,TUITION,0
1100700523,11007005231000,1, 1500.00,20140213,TUITION,0
1100700523,11007005231100,1, 1831.00,20140312,TUITION,0
1100700523,11007005231200,1, 1831.00,20140412,TUITION,0
1100701623,11007016231000,1,  239.00,20121222,TUITION,0
1100701623,11007016231100,1,  239.00,20130120,TUITION,0
1100701623,11007016231200,1,  239.00,20130220,TUITION,0
1100701623,11007016231300,1,  239.00,20130320,TUITION,0
1100701623,11007016231400,1,  239.00,20130420,TUITION,0
1100701623,11007016231500,1,  239.00,20130520,TUITION,0
1100701623,11007016231600,1,  239.00,20130620,TUITION,0
1100701623,11007016231700,1,  239.00,20130720,TUITION,0
1100701623,11007016231800,1,  239.00,20130820,TUITION,0
1100701623,11007016231900,1,  239.00,20130920,TUITION,0
1100701623,11007016232000,1,  239.00,20131020,TUITION,0
1100701623,11007016232100,1,  239.00,20131120,TUITION,0
1100702023,11007020231000,1, 4763.00,20120922,TUITION,0
1100703723,11007037231000,1, 1837.00,20131219,TUITION,0
1100704123,11007041231000,1,  239.00,20130405,TUITION,0
1100704123,11007041231100,1,  239.00,20130505,TUITION,0
1100704123,11007041231200,1,  239.00,20130605,TUITION,0
1100704123,11007041231300,1,  239.00,20130705,TUITION,0
1100704123,11007041231400,1,  239.00,20130805,TUITION,0
1100704123,11007041231500,1,  239.00,20130905,TUITION,0
1100704123,11007041231600,1,  239.00,20131005,TUITION,0
1100704123,11007041231700,1,  239.00,20131105,TUITION,0
1100704123,11007041231800,1,  239.00,20131205,TUITION,0
1100704123,11007041231900,1,  239.00,20140105,TUITION,0
1100704123,11007041232000,1,  239.00,20140205,TUITION,0
1100704123,11007041232100,1,  239.00,20140305,TUITION,0
1100706222,11007062221000,1, 1383.00,20130225,TUITION,0
1100706923,11007069231000,1, 1195.00,20131127,TUITION,0
1100706923,11007069231100,1, 1195.00,20131226,TUITION,0
1100707123,11007071231000,1,  478.00,20140120,TUITION,0
1100707123,11007071231100,1,  478.00,20140220,TUITION,0
1100707123,11007071231200,1,  478.00,20140320,TUITION,0
1100707123,11007071231300,1,  478.00,20140420,TUITION,0
1100707123,11007071231400,1,  478.00,20140520,TUITION,0
1100707123,11007071231500,1,  478.00,20140620,TUITION,0
1100707123,11007071231600,1,  478.00,20140720,TUITION,0
1100707123,11007071231700,1,  478.00,20140820,TUITION,0
1100707123,11007071231800,1,  478.00,20140920,TUITION,0
1100707123,11007071231900,1,  478.00,20141020,TUITION,0
1100707123,11007071232000,1,  478.00,20141120,TUITION,0
1100707123,11007071232100,1,  478.00,20141220,TUITION,0
1100707222,11007072221000,1,  239.00,20130320,TUITION,0
1100707222,11007072221100,1,  239.00,20130420,TUITION,0
1100707222,11007072221200,1,  239.00,20130520,TUITION,0
1100707222,11007072221300,1,  239.00,20130620,TUITION,0
1100707222,11007072221400,1,  239.00,20130720,TUITION,0
1100707222,11007072221500,1,  239.00,20130820,TUITION,0
1100707222,11007072221600,1,  239.00,20130920,TUITION,0
1100707222,11007072221700,1,  239.00,20131020,TUITION,0
1100707222,11007072221800,1,  239.00,20131120,TUITION,0
1100707222,11007072221900,1,  239.00,20131220,TUITION,0
1100707222,11007072222000,1,  239.00,20140120,TUITION,0
1100707222,11007072222100,1,  239.00,20140220,TUITION,0
1100707622,11007076221000,1, 1754.00,20130212,TUITION,0
1100709422,11007094221000,1, 2249.00,20130307,TUITION,0
1100710323,11007103231000,1, 5442.00,20130322,TUITION,0
1100710423,11007104231000,1, 4769.00,20130322,TUITION,0
1100711523,11007115231000,1,  239.00,20131014,TUITION,0
1100711523,11007115231100,1,  239.00,20131120,TUITION,0
1100711523,11007115231200,1,  239.00,20131220,TUITION,0
1100711523,11007115231300,1,  239.00,20140120,TUITION,0
1100711523,11007115231400,1,  239.00,20140220,TUITION,0
1100711523,11007115231500,1,  239.00,20140320,TUITION,0
1100711523,11007115231600,1,  239.00,20140420,TUITION,0
1100711523,11007115231700,1,  239.00,20140520,TUITION,0
1100711523,11007115231800,1,  239.00,20140620,TUITION,0
1100711523,11007115231900,1,  239.00,20140720,TUITION,0
1100711523,11007115232000,1,  239.00,20140820,TUITION,0
1100711523,11007115232100,1,  239.00,20140920,TUITION,0
1100713322,11007133221000,1, 2390.00,20130423,TUITION,0
1100714423,11007144231000,1, 3900.00,20130401,TUITION,0
1100715522,11007155221000,1, 2390.00,20131210,TUITION,0
1100716623,11007166231000,1, 2390.00,20130325,TUITION,0
1100717423,11007174231000,1,  478.00,20131212,TUITION,0
1100717423,11007174231100,1,  478.00,20140120,TUITION,0
1100717423,11007174231200,1,  478.00,20140220,TUITION,0
1100717423,11007174231300,1,  478.00,20140320,TUITION,0
1100717423,11007174231400,1,  478.00,20140420,TUITION,0
1100717423,11007174231500,1,  478.00,20140520,TUITION,0
1100717423,11007174231600,1,  478.00,20140620,TUITION,0
1100717423,11007174231700,1,  478.00,20140720,TUITION,0
1100717423,11007174231800,1,  478.00,20140820,TUITION,0
1100717423,11007174231900,1,  478.00,20140920,TUITION,0
1100717423,11007174232000,1,  478.00,20141020,TUITION,0
1100717423,11007174232100,1,  478.00,20141120,TUITION,0
1100718722,11007187221000,1,  239.00,20130705,TUITION,0
1100718722,11007187221100,1,  239.00,20130805,TUITION,0
1100718722,11007187221200,1,  239.00,20130905,TUITION,0
1100718722,11007187221300,1,  239.00,20131005,TUITION,0
1100718722,11007187221400,1,  239.00,20131105,TUITION,0
1100718722,11007187221500,1,  239.00,20131205,TUITION,0
1100718722,11007187221600,1,  239.00,20140105,TUITION,0
1100718722,11007187221700,1,  239.00,20140205,TUITION,0
1100718722,11007187221800,1,  239.00,20140305,TUITION,0
1100718722,11007187221900,1,  239.00,20140405,TUITION,0
1100718722,11007187222000,1,  239.00,20140505,TUITION,0
1100718722,11007187222100,1,  239.00,20140605,TUITION,0
1100721122,11007211221000,1, 1988.00,20120905,TUITION,0
1100721323,11007213231000,1, 2500.00,20130403,TUITION,0
1100721323,11007213231100,1, 3236.00,20130502,TUITION,0
1100721722,11007217221000,1, 2102.00,20130702,TUITION,0
1100721823,11007218231000,1, 1910.00,20130824,TUITION,0
1100721923,11007219231000,1, 2390.00,20130824,TUITION,0
1100722423,11007224231000,1,  382.00,20140105,TUITION,0
1100722423,11007224231100,1,  382.00,20140205,TUITION,0
1100722423,11007224231200,1,  382.00,20140305,TUITION,0
1100722423,11007224231300,1,  382.00,20140405,TUITION,0
1100722423,11007224231400,1,  382.00,20140505,TUITION,0
1100722423,11007224231500,1,  382.00,20140605,TUITION,0
1100722423,11007224231600,1,  382.00,20140705,TUITION,0
1100722423,11007224231700,1,  382.00,20140805,TUITION,0
1100722423,11007224231800,1,  382.00,20140905,TUITION,0
1100722423,11007224231900,1,  382.00,20141005,TUITION,0
1100722423,11007224232000,1,  382.00,20141105,TUITION,0
1100722423,11007224232100,1,  382.00,20141205,TUITION,0
1100723123,11007231231000,1,  239.00,20140114,TUITION,0
1100723123,11007231231100,1,  239.00,20140220,TUITION,0
1100723123,11007231231200,1,  239.00,20140320,TUITION,0
1100723123,11007231231300,1,  239.00,20140420,TUITION,0
1100723123,11007231231400,1,  239.00,20140520,TUITION,0
1100723123,11007231231500,1,  239.00,20140620,TUITION,0
1100723123,11007231231600,1,  239.00,20140720,TUITION,0
1100723123,11007231231700,1,  239.00,20140820,TUITION,0
1100723123,11007231231800,1,  239.00,20140920,TUITION,0
1100723123,11007231231900,1,  239.00,20141020,TUITION,0
1100723123,11007231232000,1,  239.00,20141120,TUITION,0
1100723123,11007231232100,1,  239.00,20141220,TUITION,0
1100723522,11007235221000,1,  239.00,20131105,TUITION,0
1100723522,11007235221100,1,  239.00,20131205,TUITION,0
1100723522,11007235221200,1,  239.00,20140105,TUITION,0
1100723522,11007235221300,1,  239.00,20140205,TUITION,0
1100723522,11007235221400,1,  239.00,20140305,TUITION,0
1100723522,11007235221500,1,  239.00,20140405,TUITION,0
1100723522,11007235221600,1,  239.00,20140505,TUITION,0
1100723522,11007235221700,1,  239.00,20140605,TUITION,0
1100723522,11007235221800,1,  239.00,20140705,TUITION,0
1100723522,11007235221900,1,  239.00,20140805,TUITION,0
1100723522,11007235222000,1,  239.00,20140905,TUITION,0
1100723522,11007235222100,1,  239.00,20141005,TUITION,0
1100723622,11007236221000,1,  199.00,20130920,TUITION,0
1100723622,11007236221100,1,  199.00,20131020,TUITION,0
1100723622,11007236221200,1,  199.00,20131120,TUITION,0
1100723622,11007236221300,1,  199.00,20131220,TUITION,0
1100723622,11007236221400,1,  199.00,20140120,TUITION,0
1100723622,11007236221500,1,  199.00,20140220,TUITION,0
1100723622,11007236221600,1,  199.00,20140320,TUITION,0
1100723622,11007236221700,1,  199.00,20140420,TUITION,0
1100723622,11007236221800,1,  199.00,20140520,TUITION,0
1100723622,11007236221900,1,  199.00,20140620,TUITION,0
1100723622,11007236222000,1,  199.00,20140720,TUITION,0
1100723622,11007236222100,1,  199.00,20140820,TUITION,0
1100724722,11007247221000,1,  239.00,20130305,TUITION,0
1100724722,11007247221100,1,  239.00,20130405,TUITION,0
1100724722,11007247221200,1,  239.00,20130505,TUITION,0
1100724722,11007247221300,1,  239.00,20130605,TUITION,0
1100724722,11007247221400,1,  239.00,20130705,TUITION,0
1100724722,11007247221500,1,  239.00,20130805,TUITION,0
1100724722,11007247221600,1,  239.00,20130905,TUITION,0
1100724722,11007247221700,1,  239.00,20131005,TUITION,0
1100724722,11007247221800,1,  239.00,20131105,TUITION,0
1100724722,11007247221900,1,  239.00,20131205,TUITION,0
1100724722,11007247222000,1,  239.00,20140105,TUITION,0
1100724722,11007247222100,1,  239.00,20140205,TUITION,0
1100725123,11007251231000,1, 1492.00,20140131,TUITION,0
1100725123,11007251231100,1, 1492.00,20140228,TUITION,0
1100725422,11007254221000,1,  239.00,20131019,TUITION,0
1100725422,11007254221100,1,  239.00,20131120,TUITION,0
1100725422,11007254221200,1,  239.00,20131220,TUITION,0
1100725422,11007254221300,1,  239.00,20140120,TUITION,0
1100725422,11007254221400,1,  239.00,20140220,TUITION,0
1100725422,11007254221500,1,  239.00,20140320,TUITION,0
1100725422,11007254221600,1,  239.00,20140420,TUITION,0
1100725422,11007254221700,1,  239.00,20140520,TUITION,0
1100725422,11007254221800,1,  239.00,20140620,TUITION,0
1100725422,11007254221900,1,  239.00,20140720,TUITION,0
1100725422,11007254222000,1,  239.00,20140820,TUITION,0
1100725422,11007254222100,1,  239.00,20140920,TUITION,0
1100725622,11007256221000,1, 2581.00,20130929,TUITION,0
1100725622,11007256221100,1, 2581.00,20131028,TUITION,0
1100725722,11007257221000,1,  715.00,20131107,TUITION,0
1100725722,11007257221100,1,  715.00,20131206,TUITION,0
1100726422,11007264221000,1,  715.00,20131022,TUITION,0
1100726422,11007264221100,1,  715.00,20131121,TUITION,0
1100727222,11007272221000,1,  199.00,20131120,TUITION,0
1100727222,11007272221100,1,  199.00,20131220,TUITION,0
1100727222,11007272221200,1,  199.00,20140120,TUITION,0
1100727222,11007272221300,1,  199.00,20140220,TUITION,0
1100727222,11007272221400,1,  199.00,20140320,TUITION,0
1100727222,11007272221500,1,  199.00,20140420,TUITION,0
1100727222,11007272221600,1,  199.00,20140520,TUITION,0
